bac,mention,filière,type_etu,domaine_etu,type_lieu_etu,pays_bac,tranche_age,genre,Niveau_etu,type_cours,satisfact_formation,Col_specialite1,Col_specialite2,Col_matière_prefere1,Col_matière_prefere2,Col_domaine_activite_pro1
SCIENTIFIQUE (ÉQUIVALENT),HONORABLE,MATHÉMATIQUES,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,18-21,MASCULIN,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,NON RENSEIGNÉ,ENSEIGNEMENT
SCIENTIFIQUE (ÉQUIVALENT),TRÈS-BIEN,MATHÉMATIQUES,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,12-17,FÉMININ,BAC,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,PHILOSOPHIE,RECHERCHE
SCIENTIFIQUE (ÉQUIVALENT),TRÈS-BIEN,MIASHS,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,12-17,MASCULIN,BAC,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,SCIENCES NUMÉRIQUES ET TECHNOLOGIE,ENSEIGNEMENT
SCIENTIFIQUE (ÉQUIVALENT),ASSEZ-BIEN,INFORMATIQUE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,12-17,MASCULIN,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),SCIENCES DE LA VIE ET DE LA TERRE (SVT),SCIENCES NUMÉRIQUES ET TECHNOLOGIE,DÉVELOPPEMENT JEUX VIDEO
SCIENTIFIQUE (ÉQUIVALENT),BIEN,MATHÉMATIQUES,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,CLASSE PRÉPARATOIRE,FRANCE,12-17,FÉMININ,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,NON RENSEIGNÉ,ENSEIGNEMENT
SCIENTIFIQUE (ÉQUIVALENT),BIEN,INFORMATIQUE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,18-21,MASCULIN,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,SCIENCES NUMÉRIQUES ET TECHNOLOGIE,AEROSPATIALE
ECONOMIE ET SOCIALE (ÉQUIVALENT),ASSEZ-BIEN,SCIENCE DU LANGAGE,COURTES ( < MASTER),SCIENCES HUMAINES ET SOCIALES,BTS,FRANCE,12-17,FÉMININ,LICENCE,HYBRIDES,NON,SCIENCES ÉCONOMIQUES ET SOCIALES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),HISTOIRE-GÉOGRAPHIE ( HGGSP ),FRANÇAIS,ENSEIGNEMENT
SCIENTIFIQUE (ÉQUIVALENT),TRÈS-BIEN,ARTS,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,12-17,FÉMININ,LICENCE,HYBRIDES,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),PHYSIQUE-CHIMIE (PC),NON RENSEIGNÉ,PHYSIQUE
SCIENTIFIQUE (ÉQUIVALENT),TRÈS-BIEN,MATHÉMATIQUES,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,CLASSE PRÉPARATOIRE,FRANCE,18-21,FÉMININ,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,LANGUES ÉTRANGÈRES,NON RENSEIGNÉ
SCIENTIFIQUE (ÉQUIVALENT),ASSEZ-BIEN,MATHÉMATIQUES,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,18-21,MASCULIN,LICENCE,HYBRIDES,OUI,MATHÉMATIQUES,PAS DE SPÉ,MATHÉMATIQUES,LANGUES ÉTRANGÈRES,DOMAINE DE LA DATA
ECONOMIE ET SOCIALE (ÉQUIVALENT),TRÈS-BIEN,SCIENCES DU LANGAGE,COURTES ( < MASTER),"LETTRES, LANGUES ET ART",UNIVERSITÉ,FRANCE,18-21,FÉMININ,LICENCE,HYBRIDES,OUI,MATHÉMATIQUES,SCIENCES ÉCONOMIQUES ET SOCIALES,MATHÉMATIQUES,NON RENSEIGNÉ,ENSEIGNEMENT
SCIENTIFIQUE (ÉQUIVALENT),TRÈS-BIEN,MATHÉMATIQUES,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,12-17,MASCULIN,LICENCE,PRÉSENTIEL,NON,MATHÉMATIQUES,PAS DE SPÉ,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),INGÉNIERIE
SCIENTIFIQUE (ÉQUIVALENT),BIEN,MATHÉMATIQUES,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,18-21,FÉMININ,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,NON RENSEIGNÉ,ENSEIGNEMENT
ECONOMIE ET SOCIALE (ÉQUIVALENT),TRÈS-BIEN,SCIENCES POLITIQUES,LONGUES (>= MASTER),DROIT ET SCIENCES POLITIQUES,UNIVERSITÉ,FRANCE,12-17,FÉMININ,BAC,HYBRIDES,OUI,MATHÉMATIQUES,SCIENCES ÉCONOMIQUES ET SOCIALES,SCIENCES ÉCONOMIQUES ET SOCIALES,LANGUES ÉTRANGÈRES,HUMANITAIRE
SCIENTIFIQUE (ÉQUIVALENT),ASSEZ-BIEN,MATHÉMATIQUES,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,CLASSE PRÉPARATOIRE,FRANCE,18-21,FÉMININ,LICENCE,LIGNE,OUI,MATHÉMATIQUES,PAS DE SPÉ,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),DÉVELOPPEMENT DE LOGICIELS
SCIENTIFIQUE (ÉQUIVALENT),TRÈS-BIEN,MATHÉMATIQUES,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,12-17,MASCULIN,LICENCE,HYBRIDES,OUI,MATHÉMATIQUES,PAS DE SPÉ,MATHÉMATIQUES,NON RENSEIGNÉ,DOMAINE DE LA DATA
ECONOMIE ET SOCIALE (ÉQUIVALENT),BIEN,SCIENCES DU LANGAGE,LONGUES (>= MASTER),"LETTRES, LANGUES ET ART",UNIVERSITÉ,FRANCE,12-17,FÉMININ,LICENCE,HYBRIDES,OUI,SCIENCES ÉCONOMIQUES ET SOCIALES,SCIENCES DE LA VIE ET DE LA TERRE (SVT),ART,SCIENCES ÉCONOMIQUES ET SOCIALES,NON RENSEIGNÉ
ECONOMIE ET SOCIALE (ÉQUIVALENT),BIEN,SCIENCES POLITIQUES,LONGUES (>= MASTER),DROIT ET SCIENCES POLITIQUES,UNIVERSITÉ,FRANCE,12-17,FÉMININ,LICENCE,PRÉSENTIEL,OUI,SCIENCES ÉCONOMIQUES ET SOCIALES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),HISTOIRE-GÉOGRAPHIE ( HGGSP ),FRANÇAIS,JOURNALISME
ECONOMIE ET SOCIALE (ÉQUIVALENT),ASSEZ-BIEN,SCIENCES POLITIQUES,LONGUES (>= MASTER),DROIT ET SCIENCES POLITIQUES,CLASSE PRÉPARATOIRE,FRANCE,18-21,MASCULIN,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,SCIENCES ÉCONOMIQUES ET SOCIALES,SCIENCES ÉCONOMIQUES ET SOCIALES,NON RENSEIGNÉ,NON RENSEIGNÉ
SCIENTIFIQUE (ÉQUIVALENT),BIEN,HISTOIRE,LONGUES (>= MASTER),SCIENCES HUMAINES ET SOCIALES,UNIVERSITÉ,FRANCE,12-17,FÉMININ,LICENCE,HYBRIDES,OUI,PHYSIQUE-CHIMIE (PC),SCIENCES DE LA VIE ET DE LA TERRE (SVT),HISTOIRE-GÉOGRAPHIE ( HGGSP ),ÉDUCATION PHYSIQUE ET SPORTIVE,ENSEIGNEMENT
TECHNIQUE (ÉQUIVALENT),BIEN,INFORMATIQUE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,DUT,FRANCE,18-21,MASCULIN,MASTER,HYBRIDES,OUI,NUMÉRIQUES ET SCIENCES INFORMATIQUES,PAS DE SPÉ,SCIENCES NUMÉRIQUES ET TECHNOLOGIE,NON RENSEIGNÉ,ENSEIGNEMENT
ECONOMIE ET SOCIALE (ÉQUIVALENT),BIEN,SCIENCES POLITIQUES,LONGUES (>= MASTER),DROIT ET SCIENCES POLITIQUES,UNIVERSITÉ,FRANCE,12-17,MASCULIN,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,SCIENCES ÉCONOMIQUES ET SOCIALES,PHILOSOPHIE,HISTOIRE-GÉOGRAPHIE ( HGGSP ),HAUT FONCTIONNAIRE
ECONOMIE ET SOCIALE (ÉQUIVALENT),ASSEZ-BIEN,SCIENCES POLITIQUES,LONGUES (>= MASTER),SCIENCES HUMAINES ET SOCIALES,UNIVERSITÉ,FRANCE,12-17,MASCULIN,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,SCIENCES ÉCONOMIQUES ET SOCIALES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),NON RENSEIGNÉ,NON RENSEIGNÉ
SCIENTIFIQUE (ÉQUIVALENT),TRÈS-BIEN,LITTÉRAIRE,LONGUES (>= MASTER),"LETTRES, LANGUES ET ART",CLASSE PRÉPARATOIRE,FRANCE,12-17,FÉMININ,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),NON RENSEIGNÉ
SCIENTIFIQUE (ÉQUIVALENT),ASSEZ-BIEN,ECONOMIE ET GESTION,LONGUES (>= MASTER),ECONOMIE ET GESTION,UNIVERSITÉ,NIGER,18-21,FÉMININ,MASTER,LIGNE,OUI,SCIENCES DE LA VIE ET DE LA TERRE (SVT),PAS DE SPÉ,SCIENCES DE LA VIE ET DE LA TERRE (SVT),NON RENSEIGNÉ,NON RENSEIGNÉ
SCIENTIFIQUE (ÉQUIVALENT),BIEN,INFORMATIQUE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,CLASSE PRÉPARATOIRE,NIGER,18-21,MASCULIN,MASTER,HYBRIDES,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),DÉVELOPPEMENT DE LOGICIELS
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,SCIENCES DE LA TERRE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,NIGER,22-25,MASCULIN,MASTER,PRÉSENTIEL,OUI,SCIENCES DE LA VIE ET DE LA TERRE (SVT),PAS DE SPÉ,SCIENCES DE LA VIE ET DE LA TERRE (SVT),NON RENSEIGNÉ,NON RENSEIGNÉ
ECONOMIE ET SOCIALE (ÉQUIVALENT),BIEN,HISTOIRE,LONGUES (>= MASTER),SCIENCES HUMAINES ET SOCIALES,UNIVERSITÉ,FRANCE,12-17,FÉMININ,LICENCE,PRÉSENTIEL,OUI,SCIENCES ÉCONOMIQUES ET SOCIALES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),HISTOIRE-GÉOGRAPHIE ( HGGSP ),SCIENCES ÉCONOMIQUES ET SOCIALES,NON RENSEIGNÉ
SCIENTIFIQUE (ÉQUIVALENT),ASSEZ-BIEN,SCIENCES POLITIQUES,LONGUES (>= MASTER),DROIT ET SCIENCES POLITIQUES,UNIVERSITÉ,FRANCE,12-17,MASCULIN,BAC,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),SCIENCES SOCIALES
SCIENTIFIQUE (ÉQUIVALENT),BIEN,INGÉNIEUR EN AÉROSPATIALE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,GRANDE ÉCOLE / ÉCOLE D'INGÉNIEURE,FRANCE,12-17,MASCULIN,INGÉNIEUR,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,NON RENSEIGNÉ,INGÉNIEUR EN AÉROSPATIALE
SCIENTIFIQUE (ÉQUIVALENT),ASSEZ-BIEN,INFORMATIQUE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,GRANDE ÉCOLE / ÉCOLE D'INGÉNIEURE,FRANCE,12-17,MASCULIN,MASTER,HYBRIDES,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,LANGUES ÉTRANGÈRES,INFORMATIQUE
ECONOMIE ET SOCIALE (ÉQUIVALENT),TRÈS-BIEN,SCIENCES POLITIQUES,LONGUES (>= MASTER),SCIENCES HUMAINES ET SOCIALES,UNIVERSITÉ,FRANCE,12-17,FÉMININ,BAC,PRÉSENTIEL,NON,SCIENCES ÉCONOMIQUES ET SOCIALES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),FRANÇAIS,SCIENCES ÉCONOMIQUES ET SOCIALES,NON RENSEIGNÉ
TECHNIQUE (ÉQUIVALENT),BIEN,PREPA ECT,LONGUES (>= MASTER),ECONOMIE ET GESTION,DUT,FRANCE,18-21,FÉMININ,BAC,HYBRIDES,NON,SCIENCES ÉCONOMIQUES ET SOCIALES,PAS DE SPÉ,HISTOIRE-GÉOGRAPHIE ( HGGSP ),LANGUES ÉTRANGÈRES,NON RENSEIGNÉ
ECONOMIE ET SOCIALE (ÉQUIVALENT),TRÈS-BIEN,SCIENCES POLITIQUES,LONGUES (>= MASTER),DROIT ET SCIENCES POLITIQUES,UNIVERSITÉ,FRANCE,18-21,FÉMININ,LICENCE,PRÉSENTIEL,OUI,SCIENCES ÉCONOMIQUES ET SOCIALES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),HISTOIRE-GÉOGRAPHIE ( HGGSP ),FRANÇAIS,REPRÉSENTATION POLITIQUE
SCIENTIFIQUE (ÉQUIVALENT),BIEN,SCIENCES DE L'INGENIEUR,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,CLASSE PRÉPARATOIRE,FRANCE,12-17,MASCULIN,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),PHYSIQUE-CHIMIE (PC),SCIENCES DE LA VIE ET DE LA TERRE (SVT),SYSTÈMES EMBARQUÉS
ECONOMIE ET SOCIALE (ÉQUIVALENT),PASSABLE,WEB DESIGN,COURTES ( < MASTER),ARTS,ECOLE PRIVÉE,FRANCE,12-17,MASCULIN,LICENCE,PRÉSENTIEL,OUI,SCIENCES ÉCONOMIQUES ET SOCIALES,PAS DE SPÉ,LANGUES ÉTRANGÈRES,NON RENSEIGNÉ,ART
LITTÉRAIRE (ÉQUIVALENT),BIEN,SCIENCES POLTIQUES,LONGUES (>= MASTER),DROIT ET SCIENCES POLITIQUES,UNIVERSITÉ,FRANCE,18-21,FÉMININ,LICENCE,PRÉSENTIEL,OUI,HISTOIRE-GÉOGRAPHIE ( HGGSP ),HUMANITÉS,LANGUES ÉTRANGÈRES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),NON RENSEIGNÉ
ECONOMIE ET SOCIALE (ÉQUIVALENT),BIEN,SCIENCES POLITIQUES,LONGUES (>= MASTER),DROIT ET SCIENCES POLITIQUES,ECOLE PRIVÉE,FRANCE,18-21,FÉMININ,LICENCE,HYBRIDES,OUI,SCIENCES ÉCONOMIQUES ET SOCIALES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),PHILOSOPHIE,HISTOIRE-GÉOGRAPHIE ( HGGSP ),SCIENCES SOCIALES
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,MIASHS,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,12-17,MASCULIN,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,PAS DE SPÉ,MATHÉMATIQUES,NON RENSEIGNÉ,ÉCOLOGIE
LITTÉRAIRE (ÉQUIVALENT),TRÈS-BIEN,ARTS,COURTES ( < MASTER),ARTS,UNIVERSITÉ,FRANCE,12-17,FÉMININ,BAC,HYBRIDES,OUI,SCIENCES ÉCONOMIQUES ET SOCIALES,ARTS,ART,NON RENSEIGNÉ,CINÉMA
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,Internet of Things(IOT),LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,18-21,MASCULIN,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,PAS DE SPÉ,SCIENCES NUMÉRIQUES ET TECHNOLOGIE,NON RENSEIGNÉ,CYBER SECURITY
LITTÉRAIRE (ÉQUIVALENT),BIEN,HISTOIRE,LONGUES (>= MASTER),SCIENCES HUMAINES ET SOCIALES,UNIVERSITÉ,FRANCE,18-21,MASCULIN,LICENCE,PRÉSENTIEL,NON,HISTOIRE-GÉOGRAPHIE ( HGGSP ),LANGUES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),LANGUES ÉTRANGÈRES,NON RENSEIGNÉ
SCIENTIFIQUE (ÉQUIVALENT),TRÈS-BIEN,HISTOIRE,LONGUES (>= MASTER),SCIENCES HUMAINES ET SOCIALES,UNIVERSITÉ,FRANCE,12-17,MASCULIN,LICENCE,PRÉSENTIEL,OUI,HISTOIRE-GÉOGRAPHIE ( HGGSP ),PAS DE SPÉ,HISTOIRE-GÉOGRAPHIE ( HGGSP ),NON RENSEIGNÉ,ENSEIGNEMENT
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,CHIMIE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,DUT,FRANCE,12-17,MASCULIN,LICENCE,PRÉSENTIEL,NON,PHYSIQUE-CHIMIE (PC),SCIENCES DE L'INGÉNIEUR,PHYSIQUE-CHIMIE (PC),NON RENSEIGNÉ,PROCÉDÉ
SCIENTIFIQUE (ÉQUIVALENT),BIEN,INFORMATIQUE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,CLASSE PRÉPARATOIRE,FRANCE,18-21,FÉMININ,INGÉNIEUR,PRÉSENTIEL,OUI,PHYSIQUE-CHIMIE (PC),PAS DE SPÉ,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),DÉVELOPPEMENT DE LOGICIELS
LITTÉRAIRE (ÉQUIVALENT),ASSEZ-BIEN,SCIENCES POLITIQUES,LONGUES (>= MASTER),DROIT ET SCIENCES POLITIQUES,UNIVERSITÉ,FRANCE,18-21,FÉMININ,LICENCE,PRÉSENTIEL,OUI,SCIENCES ÉCONOMIQUES ET SOCIALES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),LANGUES ÉTRANGÈRES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),NON RENSEIGNÉ
ECONOMIE ET SOCIALE (ÉQUIVALENT),TRÈS-BIEN,SCIENCES POLITIQUES,LONGUES (>= MASTER),DROIT ET SCIENCES POLITIQUES,UNIVERSITÉ,FRANCE,12-17,FÉMININ,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,SCIENCES ÉCONOMIQUES ET SOCIALES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),FRANÇAIS,JOURNALISME
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,PHYSIQUE-CHIMIE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,12-17,MASCULIN,MASTER,HYBRIDES,OUI,PHYSIQUE-CHIMIE (PC),PAS DE SPÉ,SCIENCES DE LA VIE ET DE LA TERRE (SVT),NON RENSEIGNÉ,NON RENSEIGNÉ
SCIENTIFIQUE (ÉQUIVALENT),TRÈS-BIEN,PREPA PTSI,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,CLASSE PRÉPARATOIRE,FRANCE,12-17,MASCULIN,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),NON RENSEIGNÉ
SCIENTIFIQUE (ÉQUIVALENT),BIEN,DÉVELOPPEMENT WEB,COURTES ( < MASTER),SCIENCES ET TECHNOLOGIES,DUT,FRANCE,12-17,MASCULIN,MASTER,PRÉSENTIEL,OUI,SCIENCES DE LA VIE ET DE LA TERRE (SVT),NUMÉRIQUES ET SCIENCES INFORMATIQUES,MATHÉMATIQUES,SCIENCES DE LA VIE ET DE LA TERRE (SVT),DÉVELOPPEMENT DE LOGICIELS
