bac,mention,filière,type_etu,domaine_etu,type_lieu_etu,pays_bac,tranche_age,genre,Niveau_etu,type_cours,satisfact_formation,Col_specialite1,Col_specialite2,Col_matière_prefere1,Col_matière_prefere2,Col_domaine_activite_pro1
LITTÉRAIRE (ÉQUIVALENT),PASSABLE,ÉTUDES THÉÂTRALES,COURTES ( < MASTER),ARTS,UNIVERSITÉ,FRANCE,12-17,MASCULIN,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,HUMANITÉS,ART,FRANÇAIS,COMÉDIEN
ECONOMIE ET SOCIALE (ÉQUIVALENT),ASSEZ-BIEN,SCIENCES POLITIQUES,LONGUES (>= MASTER),SCIENCES HUMAINES ET SOCIALES,UNIVERSITÉ,FRANCE,18-21,FÉMININ,LICENCE,LIGNE,OUI,MATHÉMATIQUES,SCIENCES ÉCONOMIQUES ET SOCIALES,SCIENCES ÉCONOMIQUES ET SOCIALES,NON RENSEIGNÉ,NON RENSEIGNÉ
SCIENTIFIQUE (ÉQUIVALENT),ASSEZ-BIEN,BIOLOGIE,LONGUES (>= MASTER),SCIENCES DE LA VIE ET DE LA SANTÉ,UNIVERSITÉ,FRANCE,12-17,FÉMININ,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,PAS DE SPÉ,MATHÉMATIQUES,SCIENCES DE LA VIE ET DE LA TERRE (SVT),CINEMA
ECONOMIE ET SOCIALE (ÉQUIVALENT),ASSEZ-BIEN,SCIENCES POLITIQUES,LONGUES (>= MASTER),DROIT ET SCIENCES POLITIQUES,UNIVERSITÉ,FRANCE,18-21,FÉMININ,LICENCE,PRÉSENTIEL,OUI,SCIENCES ÉCONOMIQUES ET SOCIALES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),LANGUES ÉTRANGÈRES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),NON RENSEIGNÉ
ECONOMIE ET SOCIALE (ÉQUIVALENT),BIEN,SCIENCES POLITIQUES,COURTES ( < MASTER),DROIT ET SCIENCES POLITIQUES,UNIVERSITÉ,FRANCE,18-21,FÉMININ,LICENCE,PRÉSENTIEL,NON,SCIENCES ÉCONOMIQUES ET SOCIALES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),SCIENCES ÉCONOMIQUES ET SOCIALES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),JOURNALISTE
LITTÉRAIRE (ÉQUIVALENT),TRÈS-BIEN,HISTOIRE,LONGUES (>= MASTER),"LETTRES, LANGUES ET ART",UNIVERSITÉ,FRANCE,12-17,FÉMININ,LICENCE,PRÉSENTIEL,OUI,PAS DE SPÉ,PAS DE SPÉ,HISTOIRE-GÉOGRAPHIE ( HGGSP ),NON RENSEIGNÉ,SECTEURS DU PATRIMOINE
ECONOMIE ET SOCIALE (ÉQUIVALENT),BIEN,SCIENCES POLITIQUES,LONGUES (>= MASTER),SCIENCES HUMAINES ET SOCIALES,UNIVERSITÉ,FRANCE,12-17,FÉMININ,LICENCE,LIGNE,NON,SCIENCES ÉCONOMIQUES ET SOCIALES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),PHYSIQUE-CHIMIE (PC),SCIENCES DE LA VIE ET DE LA TERRE (SVT),NON RENSEIGNÉ
SCIENTIFIQUE (ÉQUIVALENT),BIEN,SCIENCES POLITIQUES,LONGUES (>= MASTER),SCIENCES HUMAINES ET SOCIALES,UNIVERSITÉ,FRANCE,12-17,FÉMININ,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,SCIENCES DE LA VIE ET DE LA TERRE (SVT),HISTOIRE-GÉOGRAPHIE ( HGGSP ),NON RENSEIGNÉ,NON RENSEIGNÉ
LITTÉRAIRE (ÉQUIVALENT),BIEN,SCIENCES POLITIQUES,LONGUES (>= MASTER),DROIT ET SCIENCES POLITIQUES,UNIVERSITÉ,FRANCE,12-17,FÉMININ,LICENCE,HYBRIDES,OUI,SCIENCES ÉCONOMIQUES ET SOCIALES,LANGUES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),LANGUES ÉTRANGÈRES,NON RENSEIGNÉ
SCIENTIFIQUE (ÉQUIVALENT),TRÈS-BIEN,INFORMATIQUE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,MAROC,12-17,MASCULIN,MASTER,PRÉSENTIEL,OUI,PHYSIQUE-CHIMIE (PC),PAS DE SPÉ,PHYSIQUE-CHIMIE (PC),NON RENSEIGNÉ,DATA ANALYST
LITTÉRAIRE (ÉQUIVALENT),ASSEZ-BIEN,DROIT,LONGUES (>= MASTER),DROIT ET SCIENCES POLITIQUES,UNIVERSITÉ,SÉNÉGAL,22-25,FÉMININ,LICENCE,PRÉSENTIEL,OUI,PHYSIQUE-CHIMIE (PC),SCIENCES ÉCONOMIQUES ET SOCIALES,SCIENCES DE LA VIE ET DE LA TERRE (SVT),PHILOSOPHIE,DROIT IMMOBILIER
ECONOMIE ET SOCIALE (ÉQUIVALENT),PASSABLE,INFORMATIQUE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,12-17,MASCULIN,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,PAS DE SPÉ,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),BANQUE
SCIENTIFIQUE (ÉQUIVALENT),ASSEZ-BIEN,MIASHS,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,NIGER,12-17,FÉMININ,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),DOMAINE DE LA DATA
LITTÉRAIRE (ÉQUIVALENT),PASSABLE,ENVIRONNEMENT ET DURABILITÉ,COURTES ( < MASTER),SCIENCES DE LA VIE ET DE LA SANTÉ,UNIVERSITÉ,NIGER,18-21,FÉMININ,BAC,LIGNE,OUI,SCIENCES HUMAINES,LITTÉRATURE ET PHILOSOPHIE,LANGUES ÉTRANGÈRES,NON RENSEIGNÉ,NON RENSEIGNÉ
SCIENTIFIQUE (ÉQUIVALENT),ASSEZ-BIEN,COMPTABILITÉ ET GESTION,LONGUES (>= MASTER),ECONOMIE ET GESTION,UNIVERSITÉ,TOGO,18-21,MASCULIN,LICENCE,PRÉSENTIEL,OUI,NUMÉRIQUES ET SCIENCES INFORMATIQUES,PAS DE SPÉ,SCIENCES DE LA VIE ET DE LA TERRE (SVT),NON RENSEIGNÉ,COMPTABILITÉ
SCIENTIFIQUE (ÉQUIVALENT),ASSEZ-BIEN,ECONOMIE ET GESTION,LONGUES (>= MASTER),ECONOMIE ET GESTION,UNIVERSITÉ,NIGER,12-17,FÉMININ,MASTER,PRÉSENTIEL,OUI,SCIENCES ÉCONOMIQUES ET SOCIALES,PAS DE SPÉ,MATHÉMATIQUES,SCIENCES ÉCONOMIQUES ET SOCIALES,DOMAINE DE LA DATA
SCIENTIFIQUE (ÉQUIVALENT),BIEN,INFORMATIQUE ÉLECTRONIQUE,COURTES ( < MASTER),SCIENCES ET TECHNOLOGIES,ECOLE PRIVÉE,TOGO,18-21,MASCULIN,BAC,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),NON RENSEIGNÉ
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,SIAD,LONGUES (>= MASTER),ECONOMIE ET GESTION,CLASSE PRÉPARATOIRE,SÉNÉGAL,18-21,MASCULIN,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,NON RENSEIGNÉ,BANQUE
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,MIASHS,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,TOGO,18-21,MASCULIN,DOCTORAT,HYBRIDES,OUI,NUMÉRIQUES ET SCIENCES INFORMATIQUES,PAS DE SPÉ,SCIENCES NUMÉRIQUES ET TECHNOLOGIE,NON RENSEIGNÉ,DÉVELOPPEMENT DE LOGICIELS
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,MATHÉMATIQUES,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,CLASSE PRÉPARATOIRE,NIGER,18-21,MASCULIN,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,PAS DE SPÉ,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),TRAITEMENTS DE DONNÉES
SCIENTIFIQUE (ÉQUIVALENT),BIEN,ÉLECTRONIQUE ET TÉLÉCOMMUNICATIONS,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,NIGER,18-21,MASCULIN,DOCTORAT,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),NANOTECHNOLOGIES
SCIENTIFIQUE (ÉQUIVALENT),ASSEZ-BIEN,GENIE ELECTRIQUE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,NIGER,18-21,MASCULIN,MASTER,PRÉSENTIEL,OUI,SCIENCES DE L'INGÉNIEUR,PAS DE SPÉ,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),TECHNIQUE
SCIENTIFIQUE (ÉQUIVALENT),BIEN,ANESTHÉSIE RÉANIMATION,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,TOGO,12-17,MASCULIN,BAC,PRÉSENTIEL,OUI,SCIENCES DE L'INGÉNIEUR,PAS DE SPÉ,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),NON RENSEIGNÉ
SCIENTIFIQUE (ÉQUIVALENT),ASSEZ-BIEN,MANAGEMENT DES ORGANISATIONS,COURTES ( < MASTER),ECONOMIE ET GESTION,ECOLE PRIVÉE,TOGO,18-21,FÉMININ,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),SCIENCES DE LA VIE ET DE LA TERRE (SVT),HISTOIRE-GÉOGRAPHIE ( HGGSP ),NON RENSEIGNÉ
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,INFIRMERIE,LONGUES (>= MASTER),SCIENCES DE LA VIE ET DE LA SANTÉ,CLASSE PRÉPARATOIRE,TOGO,18-21,FÉMININ,BAC,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),PHYSIQUE-CHIMIE (PC),SCIENCES DE LA VIE ET DE LA TERRE (SVT),INFIRMERIE
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,MIASHS,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,SÉNÉGAL,18-21,MASCULIN,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),FRANÇAIS,HISTOIRE-GÉOGRAPHIE ( HGGSP ),DATA ANALYST
SCIENTIFIQUE (ÉQUIVALENT),ASSEZ-BIEN,MÉDECINE,COURTES ( < MASTER),SCIENCES DE LA VIE ET DE LA SANTÉ,ECOLE PRIVÉE,TOGO,18-21,FÉMININ,BAC,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),NON RENSEIGNÉ
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,ADMINISTRATION ECONOMIQUE ET SOCIALE,LONGUES (>= MASTER),SCIENCES HUMAINES ET SOCIALES,UNIVERSITÉ,NIGER,12-17,FÉMININ,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,FRANÇAIS,ÉDITION
LITTÉRAIRE (ÉQUIVALENT),PASSABLE,MÉDECINE,LONGUES (>= MASTER),SCIENCES DE LA VIE ET DE LA SANTÉ,ECOLE PRIVÉE,TOGO,18-21,FÉMININ,BAC,PRÉSENTIEL,OUI,PHYSIQUE-CHIMIE (PC),SCIENCES DE LA VIE ET DE LA TERRE (SVT),SCIENCES DE LA VIE ET DE LA TERRE (SVT),HISTOIRE-GÉOGRAPHIE ( HGGSP ),SANTE
TECHNIQUE (ÉQUIVALENT),PASSABLE,ECONOMIE ET GESTION,LONGUES (>= MASTER),ECONOMIE ET GESTION,ECOLE DE COMMERCE,TOGO,22-25,FÉMININ,MASTER,LIGNE,OUI,SCIENCES ÉCONOMIQUES ET SOCIALES,PAS DE SPÉ,FRANÇAIS,SCIENCES ÉCONOMIQUES ET SOCIALES,NON RENSEIGNÉ
LITTÉRAIRE (ÉQUIVALENT),ASSEZ-BIEN,LANGUES,COURTES ( < MASTER),"LETTRES, LANGUES ET ART",ECOLE DE COMMERCE,TOGO,18-21,MASCULIN,BAC,PRÉSENTIEL,OUI,PHYSIQUE-CHIMIE (PC),HISTOIRE-GÉOGRAPHIE ( HGGSP ),PHYSIQUE-CHIMIE (PC),PHILOSOPHIE,NON RENSEIGNÉ
SCIENTIFIQUE (ÉQUIVALENT),TRÈS-BIEN,MIASHS,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,NIGER,18-21,FÉMININ,MASTER,HYBRIDES,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),NON RENSEIGNÉ
LITTÉRAIRE (ÉQUIVALENT),PASSABLE,COMMERCE,COURTES ( < MASTER),ECONOMIE ET GESTION,UNIVERSITÉ,TOGO,18-21,FÉMININ,LICENCE,PRÉSENTIEL,NON,LITTÉRATURE ET PHILOSOPHIE,LITTÉRATURES ET CULTURES ÉTRANGÈRES,LANGUES ÉTRANGÈRES,NON RENSEIGNÉ,NON RENSEIGNÉ
TECHNIQUE (ÉQUIVALENT),ASSEZ-BIEN,RESSOURCES HUMAINES,LONGUES (>= MASTER),SCIENCES HUMAINES ET SOCIALES,UNIVERSITÉ,FRANCE,18-21,MASCULIN,MASTER,HYBRIDES,OUI,SCIENCES HUMAINES,PAS DE SPÉ,HISTOIRE-GÉOGRAPHIE ( HGGSP ),FRANÇAIS,NON RENSEIGNÉ
ECONOMIE ET SOCIALE (ÉQUIVALENT),PASSABLE,MIASHS,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,22-25,MASCULIN,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,PAS DE SPÉ,MATHÉMATIQUES,SCIENCES ÉCONOMIQUES ET SOCIALES,NON RENSEIGNÉ
ECONOMIE ET SOCIALE (ÉQUIVALENT),PASSABLE,MIASHS,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,22-25,MASCULIN,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,PAS DE SPÉ,MATHÉMATIQUES,SCIENCES NUMÉRIQUES ET TECHNOLOGIE,NON RENSEIGNÉ
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,SIAD,LONGUES (>= MASTER),SCIENCES HUMAINES ET SOCIALES,UNIVERSITÉ,SÉNÉGAL,18-21,FÉMININ,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,PAS DE SPÉ,SCIENCES ÉCONOMIQUES ET SOCIALES,NON RENSEIGNÉ,DOMAINE DE LA DATA
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,MIASHS,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,22-25,MASCULIN,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,SCIENCES ÉCONOMIQUES ET SOCIALES,MATHÉMATIQUES,SCIENCES NUMÉRIQUES ET TECHNOLOGIE,DOMAINE DE LA DATA
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,MIASHS,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,22-25,MASCULIN,MASTER,PRÉSENTIEL,OUI,SCIENCES DE LA VIE ET DE LA TERRE (SVT),PAS DE SPÉ,HISTOIRE-GÉOGRAPHIE ( HGGSP ),ÉDUCATION PHYSIQUE ET SPORTIVE,DATA ANALYSE
SCIENTIFIQUE (ÉQUIVALENT),BIEN,INFORMATIQUE,COURTES ( < MASTER),SCIENCES HUMAINES ET SOCIALES,ECOLE PRIVÉE,AFRIQUE,18-21,FÉMININ,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,PAS DE SPÉ,MATHÉMATIQUES,SCIENCES DE LA VIE ET DE LA TERRE (SVT),NON RENSEIGNÉ
LITTÉRAIRE (ÉQUIVALENT),PASSABLE,MUSICOLOGIE,LONGUES (>= MASTER),"LETTRES, LANGUES ET ART",UNIVERSITÉ,FRANCE,18-21,FÉMININ,LICENCE,PRÉSENTIEL,OUI,SCIENCES ÉCONOMIQUES ET SOCIALES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),HISTOIRE-GÉOGRAPHIE ( HGGSP ),FRANÇAIS,NON RENSEIGNÉ
LITTÉRAIRE (ÉQUIVALENT),PASSABLE,ANGLAIS,LONGUES (>= MASTER),"LETTRES, LANGUES ET ART",UNIVERSITÉ,FRANCE,18-21,FÉMININ,BAC,PRÉSENTIEL,OUI,MATHÉMATIQUES,SCIENCES ÉCONOMIQUES ET SOCIALES,LANGUES ÉTRANGÈRES,NON RENSEIGNÉ,TRADUCTION
LITTÉRAIRE (ÉQUIVALENT),TRÈS-BIEN,MUSICOLOGIE,LONGUES (>= MASTER),ARTS,UNIVERSITÉ,FRANCE,18-21,MASCULIN,BAC,PRÉSENTIEL,OUI,MATHÉMATIQUES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),HISTOIRE-GÉOGRAPHIE ( HGGSP ),ART,NON RENSEIGNÉ
LITTÉRAIRE (ÉQUIVALENT),BIEN,MUSICOLOGIE,LONGUES (>= MASTER),"LETTRES, LANGUES ET ART",UNIVERSITÉ,FRANCE,18-21,FÉMININ,LICENCE,PRÉSENTIEL,OUI,ARTS,LITTÉRATURE ET PHILOSOPHIE,LANGUES ÉTRANGÈRES,NON RENSEIGNÉ,ENSEIGNEMENT
LITTÉRAIRE (ÉQUIVALENT),BIEN,CINÉMATOGRAPHIE,LONGUES (>= MASTER),ARTS,UNIVERSITÉ,FRANCE,12-17,FÉMININ,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),ART,LANGUES ÉTRANGÈRES,ART
LITTÉRAIRE (ÉQUIVALENT),TRÈS-BIEN,ANGLAIS,LONGUES (>= MASTER),"LETTRES, LANGUES ET ART",UNIVERSITÉ,FRANCE,12-17,MASCULIN,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,HUMANITÉS,MATHÉMATIQUES,LANGUES ÉTRANGÈRES,LOCALISATION
LITTÉRAIRE (ÉQUIVALENT),BIEN,CINÉMATOGRAPHIE,COURTES ( < MASTER),ARTS,UNIVERSITÉ,FRANCE,18-21,FÉMININ,LICENCE,PRÉSENTIEL,OUI,SCIENCES HUMAINES,LITTÉRATURE ET PHILOSOPHIE,LANGUES ÉTRANGÈRES,NON RENSEIGNÉ,SCÉNARISME
LITTÉRAIRE (ÉQUIVALENT),HONORABLE,CINÉMATOGRAPHIE,LONGUES (>= MASTER),"LETTRES, LANGUES ET ART",UNIVERSITÉ,FRANCE,12-17,MASCULIN,BAC,PRÉSENTIEL,OUI,ARTS,LITTÉRATURES ET CULTURES ÉTRANGÈRES,PHYSIQUE-CHIMIE (PC),HISTOIRE-GÉOGRAPHIE ( HGGSP ),ART
LITTÉRAIRE (ÉQUIVALENT),BIEN,CINÉMATOGRAPHIE,LONGUES (>= MASTER),ARTS,UNIVERSITÉ,FRANCE,12-17,MASCULIN,BAC,PRÉSENTIEL,OUI,HISTOIRE-GÉOGRAPHIE ( HGGSP ),HUMANITÉS,PHILOSOPHIE,HISTOIRE-GÉOGRAPHIE ( HGGSP ),RECHERCHE
SCIENTIFIQUE (ÉQUIVALENT),BIEN,INFORMATIQUE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,AFRIQUE,18-21,FÉMININ,MASTER,HYBRIDES,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,SCIENCES NUMÉRIQUES ET TECHNOLOGIE,NON RENSEIGNÉ
LITTÉRAIRE (ÉQUIVALENT),ASSEZ-BIEN,ANGLAIS,LONGUES (>= MASTER),"LETTRES, LANGUES ET ART",UNIVERSITÉ,FRANCE,18-21,MASCULIN,LICENCE,HYBRIDES,NON,NUMÉRIQUES ET SCIENCES INFORMATIQUES,LITTÉRATURES ET CULTURES ÉTRANGÈRES,LANGUES ÉTRANGÈRES,NON RENSEIGNÉ,AUDIOVISUEL
SCIENTIFIQUE (ÉQUIVALENT),ASSEZ-BIEN,PHYSIQUE,LONGUES (>= MASTER),SCIENCES DE LA VIE ET DE LA SANTÉ,GRANDE ÉCOLE / ÉCOLE D'INGÉNIEURE,NIGER,18-21,MASCULIN,DOCTORAT,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),DÉVELOPPEMENT DE LOGICIELS
